WorkOrderID,CreatedDate,CompletedDate,EngineerID,RegionID,Priority,SLAID,Status
125,2023-01-05,2023-01-08,15,3,Medium,2,Closed
126,2023-01-05,2023-01-09,18,4,High,1,Closed
127,2023-01-05,2023-01-11,8,2,Medium,2,Closed
128,2023-01-05,2023-01-11,4,1,Medium,2,Closed
129,2023-01-05,,8,2,High,1,Open
130,2023-01-05,2023-01-06,11,3,Medium,2,Closed
131,2023-01-05,2023-01-06,5,1,Low,3,Closed
132,2023-01-05,,1,1,Low,3,Open
133,2023-01-05,2023-01-13,10,2,Low,3,Closed
134,2023-01-05,2023-01-10,5,1,Low,3,Closed
135,2023-01-05,2023-01-14,16,4,High,1,Closed
136,2023-01-05,2023-01-11,16,4,High,1,Closed
137,2023-01-05,2023-01-12,12,3,Medium,2,Closed
138,2023-01-05,2023-01-11,8,2,Medium,2,Closed
139,2023-01-05,2023-01-06,6,2,High,1,Closed
140,2023-01-06,2023-01-13,10,2,Medium,2,Closed
141,2023-01-06,,5,1,Low,3,Open
142,2023-01-06,,18,4,Medium,2,Open
143,2023-01-06,2023-01-08,7,2,Medium,2,Closed
144,2023-01-06,2023-01-10,2,1,Low,3,Closed
145,2023-01-06,2023-01-14,1,1,High,1,Closed
146,2023-01-06,2023-01-10,5,1,High,1,Closed
147,2023-01-06,2023-01-15,18,4,High,1,Closed
148,2023-01-06,,9,2,Low,3,Open
149,2023-01-06,2023-01-13,9,2,High,1,Closed
150,2023-01-06,2023-01-11,19,4,Medium,2,Closed
151,2023-01-06,2023-01-09,3,1,Medium,2,Closed
152,2023-01-06,2023-01-08,18,4,High,1,Closed
153,2023-01-06,2023-01-15,2,1,Medium,2,Closed
154,2023-01-06,2023-01-12,13,3,Medium,2,Closed
155,2023-01-06,,18,4,Medium,2,Open
156,2023-01-06,2023-01-13,14,3,Medium,2,Closed
157,2023-01-06,2023-01-09,8,2,Medium,2,Closed
158,2023-01-06,2023-01-08,2,1,High,1,Closed
159,2023-01-06,2023-01-07,19,4,High,1,Closed
160,2023-01-06,2023-01-13,8,2,High,1,Closed
161,2023-01-06,2023-01-07,1,1,High,1,Closed
162,2023-01-06,2023-01-13,3,1,Low,3,Closed
163,2023-01-06,2023-01-15,2,1,Medium,2,Closed
164,2023-01-06,2023-01-14,2,1,High,1,Closed
165,2023-01-06,2023-01-08,10,2,Low,3,Closed
166,2023-01-06,2023-01-09,15,3,Medium,2,Closed
167,2023-01-06,2023-01-08,20,4,Medium,2,Closed
168,2023-01-06,2023-01-15,11,3,Medium,2,Closed
169,2023-01-06,2023-01-07,4,1,High,1,Closed
170,2023-01-06,2023-01-08,6,2,High,1,Closed
171,2023-01-06,2023-01-15,10,2,Low,3,Closed
172,2023-01-06,2023-01-11,16,4,Medium,2,Closed
173,2023-01-06,2023-01-12,11,3,Low,3,Closed
174,2023-01-06,2023-01-11,10,2,High,1,Closed
175,2023-01-06,,4,1,Medium,2,Open
176,2023-01-06,2023-01-07,15,3,Medium,2,Closed
177,2023-01-06,2023-01-12,19,4,High,1,Closed
178,2023-01-06,2023-01-14,12,3,High,1,Closed
179,2023-01-07,2023-01-15,2,1,High,1,Closed
180,2023-01-07,2023-01-11,8,2,High,1,Closed
181,2023-01-07,2023-01-09,15,3,Medium,2,Closed
182,2023-01-07,2023-01-15,8,2,Medium,2,Closed
183,2023-01-07,2023-01-10,10,2,High,1,Closed
184,2023-01-07,,5,1,Medium,2,Open
185,2023-01-07,2023-01-15,9,2,Medium,2,Closed
186,2023-01-07,2023-01-13,7,2,Medium,2,Closed
187,2023-01-07,,18,4,Medium,2,Open
188,2023-01-07,,6,2,High,1,Open
189,2023-01-07,2023-01-14,19,4,High,1,Closed
190,2023-01-07,2023-01-11,19,4,Medium,2,Closed
191,2023-01-07,2023-01-15,16,4,Medium,2,Closed
192,2023-01-07,2023-01-14,5,1,Medium,2,Closed
193,2023-01-07,2023-01-16,1,1,Low,3,Closed
194,2023-01-07,,13,3,Low,3,Open
195,2023-01-07,2023-01-09,11,3,High,1,Closed
196,2023-01-07,2023-01-12,11,3,Low,3,Closed
197,2023-01-07,2023-01-14,17,4,High,1,Closed
198,2023-01-07,2023-01-15,13,3,Medium,2,Closed
199,2023-01-07,2023-01-12,16,4,Medium,2,Closed
200,2023-01-07,2023-01-12,12,3,High,1,Closed
201,2023-01-07,2023-01-09,20,4,High,1,Closed
202,2023-01-07,2023-01-10,5,1,Medium,2,Closed
203,2023-01-07,2023-01-08,18,4,Low,3,Closed
204,2023-01-07,,19,4,Low,3,Open
205,2023-01-07,2023-01-10,9,2,Low,3,Closed
206,2023-01-07,2023-01-15,18,4,High,1,Closed
207,2023-01-07,2023-01-16,17,4,Low,3,Closed
208,2023-01-07,,7,2,Medium,2,Open
209,2023-01-08,2023-01-14,12,3,Medium,2,Closed
210,2023-01-08,2023-01-13,4,1,Low,3,Closed
211,2023-01-08,2023-01-11,19,4,Low,3,Closed
212,2023-01-08,2023-01-14,11,3,Medium,2,Closed
213,2023-01-08,2023-01-17,7,2,High,1,Closed
214,2023-01-08,2023-01-17,4,1,High,1,Closed
215,2023-01-08,2023-01-15,6,2,High,1,Closed
216,2023-01-08,2023-01-10,11,3,Medium,2,Closed
217,2023-01-08,2023-01-10,9,2,Medium,2,Closed
218,2023-01-08,2023-01-17,7,2,Low,3,Closed
219,2023-01-08,2023-01-12,11,3,Medium,2,Closed
220,2023-01-08,2023-01-14,1,1,Low,3,Closed
221,2023-01-08,,5,1,High,1,Open
222,2023-01-08,2023-01-09,17,4,Low,3,Closed
223,2023-01-08,2023-01-12,9,2,High,1,Closed
224,2023-01-08,2023-01-12,2,1,Medium,2,Closed
225,2023-01-08,2023-01-09,1,1,Low,3,Closed
226,2023-01-08,,2,1,High,1,Open
227,2023-01-08,2023-01-14,10,2,Medium,2,Closed
228,2023-01-08,2023-01-10,9,2,Medium,2,Closed
229,2023-01-08,,1,1,Low,3,Open
230,2023-01-08,2023-01-11,12,3,High,1,Closed
231,2023-01-08,2023-01-17,3,1,Low,3,Closed
232,2023-01-08,2023-01-14,18,4,Low,3,Closed
233,2023-01-08,2023-01-16,9,2,High,1,Closed
234,2023-01-08,,16,4,High,1,Open
235,2023-01-08,2023-01-14,7,2,Low,3,Closed
236,2023-01-08,2023-01-14,7,2,Low,3,Closed
237,2023-01-08,2023-01-09,3,1,High,1,Closed
238,2023-01-09,2023-01-16,18,4,Low,3,Closed
239,2023-01-09,,16,4,High,1,Open
240,2023-01-09,2023-01-12,1,1,Low,3,Closed
241,2023-01-09,2023-01-18,20,4,Medium,2,Closed
242,2023-01-09,2023-01-16,11,3,High,1,Closed
243,2023-01-09,2023-01-18,16,4,High,1,Closed
244,2023-01-09,2023-01-18,3,1,High,1,Closed
245,2023-01-09,2023-01-17,14,3,High,1,Closed
246,2023-01-09,2023-01-11,12,3,High,1,Closed
247,2023-01-09,2023-01-12,15,3,Medium,2,Closed
248,2023-01-09,2023-01-10,20,4,Medium,2,Closed
249,2023-01-09,2023-01-13,19,4,Low,3,Closed
250,2023-01-09,2023-01-14,18,4,High,1,Closed
251,2023-01-09,2023-01-12,13,3,High,1,Closed
252,2023-01-09,2023-01-14,10,2,Medium,2,Closed
253,2023-01-09,2023-01-11,15,3,Low,3,Closed
254,2023-01-09,2023-01-17,3,1,Low,3,Closed
255,2023-01-09,2023-01-18,8,2,Low,3,Closed
256,2023-01-09,2023-01-17,15,3,Medium,2,Closed
257,2023-01-09,,17,4,Medium,2,Open
258,2023-01-10,2023-01-14,4,1,Low,3,Closed
259,2023-01-10,2023-01-15,7,2,High,1,Closed
260,2023-01-10,,7,2,Low,3,Open
261,2023-01-10,2023-01-12,1,1,Medium,2,Closed
262,2023-01-10,2023-01-13,14,3,Low,3,Closed
263,2023-01-10,2023-01-14,12,3,Medium,2,Closed
264,2023-01-10,2023-01-19,4,1,High,1,Closed
265,2023-01-10,2023-01-14,11,3,High,1,Closed
266,2023-01-10,2023-01-18,16,4,Low,3,Closed
267,2023-01-10,2023-01-11,13,3,High,1,Closed
268,2023-01-10,2023-01-18,16,4,High,1,Closed
269,2023-01-10,,5,1,Low,3,Open
270,2023-01-10,2023-01-19,15,3,Low,3,Closed
271,2023-01-10,,1,1,Low,3,Open
272,2023-01-10,2023-01-14,7,2,Medium,2,Closed
273,2023-01-10,,4,1,Low,3,Open
274,2023-01-10,,5,1,Medium,2,Open
275,2023-01-10,2023-01-13,17,4,Low,3,Closed
276,2023-01-10,2023-01-16,12,3,Low,3,Closed
277,2023-01-10,2023-01-19,16,4,High,1,Closed
278,2023-01-10,,14,3,High,1,Open
279,2023-01-10,2023-01-14,18,4,Low,3,Closed
280,2023-01-10,2023-01-15,16,4,High,1,Closed
281,2023-01-10,2023-01-13,12,3,Medium,2,Closed
282,2023-01-10,2023-01-14,18,4,High,1,Closed
283,2023-01-10,2023-01-18,3,1,Medium,2,Closed
284,2023-01-10,,16,4,Low,3,Open
285,2023-01-10,,8,2,Medium,2,Open
286,2023-01-10,2023-01-18,2,1,Low,3,Closed
287,2023-01-10,2023-01-17,18,4,Low,3,Closed
288,2023-01-10,2023-01-19,13,3,Medium,2,Closed
289,2023-01-10,2023-01-18,13,3,Medium,2,Closed
290,2023-01-10,2023-01-11,1,1,Low,3,Closed
291,2023-01-10,,5,1,High,1,Open
292,2023-01-10,2023-01-17,14,3,Medium,2,Closed
293,2023-01-10,2023-01-19,15,3,Medium,2,Closed
294,2023-01-10,2023-01-16,15,3,Low,3,Closed
295,2023-01-10,2023-01-13,7,2,Medium,2,Closed
296,2023-01-10,2023-01-18,16,4,Medium,2,Closed
297,2023-01-10,2023-01-17,17,4,Medium,2,Closed
298,2023-01-10,,3,1,High,1,Open
299,2023-01-11,2023-01-14,16,4,Low,3,Closed
300,2023-01-11,2023-01-15,6,2,Medium,2,Closed
301,2023-01-11,2023-01-18,15,3,Medium,2,Closed
302,2023-01-11,2023-01-19,13,3,High,1,Closed
303,2023-01-11,,20,4,High,1,Open
304,2023-01-11,2023-01-17,7,2,Low,3,Closed
305,2023-01-11,,1,1,Medium,2,Open
306,2023-01-11,2023-01-13,13,3,Medium,2,Closed
307,2023-01-11,2023-01-14,18,4,Medium,2,Closed
308,2023-01-11,2023-01-17,6,2,Low,3,Closed
309,2023-01-11,2023-01-12,11,3,Low,3,Closed
310,2023-01-11,,13,3,High,1,Open
311,2023-01-11,2023-01-14,16,4,Low,3,Closed
312,2023-01-11,,19,4,High,1,Open
313,2023-01-11,2023-01-12,18,4,Low,3,Closed
314,2023-01-11,2023-01-16,17,4,Low,3,Closed
315,2023-01-11,,3,1,Medium,2,Open
316,2023-01-11,2023-01-17,2,1,High,1,Closed
317,2023-01-11,2023-01-16,16,4,Medium,2,Closed
318,2023-01-11,,10,2,High,1,Open
319,2023-01-11,2023-01-16,17,4,Medium,2,Closed
320,2023-01-11,2023-01-12,15,3,Medium,2,Closed
321,2023-01-11,2023-01-15,1,1,Medium,2,Closed
322,2023-01-11,2023-01-14,8,2,Low,3,Closed
323,2023-01-11,2023-01-16,11,3,Medium,2,Closed
324,2023-01-11,2023-01-18,19,4,High,1,Closed
325,2023-01-11,2023-01-13,10,2,Medium,2,Closed
326,2023-01-11,2023-01-12,13,3,Medium,2,Closed
327,2023-01-11,2023-01-16,2,1,Low,3,Closed
328,2023-01-11,,11,3,High,1,Open
329,2023-01-11,,18,4,Low,3,Open
330,2023-01-11,2023-01-12,13,3,Medium,2,Closed
331,2023-01-11,2023-01-13,6,2,Low,3,Closed
332,2023-01-11,2023-01-14,19,4,Low,3,Closed
333,2023-01-11,2023-01-20,12,3,Low,3,Closed
334,2023-01-11,2023-01-15,12,3,High,1,Closed
335,2023-01-11,2023-01-14,8,2,High,1,Closed
336,2023-01-11,2023-01-17,12,3,Low,3,Closed
337,2023-01-11,2023-01-19,6,2,Medium,2,Closed
338,2023-01-11,2023-01-15,13,3,Low,3,Closed
339,2023-01-11,,18,4,High,1,Open
340,2023-01-11,2023-01-13,4,1,High,1,Closed
341,2023-01-11,2023-01-19,19,4,Low,3,Closed
342,2023-01-11,2023-01-15,5,1,High,1,Closed
343,2023-01-11,,16,4,Low,3,Open
344,2023-01-11,2023-01-13,8,2,Medium,2,Closed
345,2023-01-12,2023-01-19,8,2,High,1,Closed
346,2023-01-12,,1,1,High,1,Open
347,2023-01-12,2023-01-16,18,4,Low,3,Closed
348,2023-01-12,,9,2,Medium,2,Open
349,2023-01-12,2023-01-18,9,2,Medium,2,Closed
350,2023-01-12,2023-01-17,19,4,High,1,Closed
351,2023-01-12,,13,3,Medium,2,Open
352,2023-01-12,2023-01-19,16,4,Medium,2,Closed
353,2023-01-12,2023-01-18,14,3,Medium,2,Closed
354,2023-01-12,2023-01-14,16,4,Low,3,Closed
355,2023-01-12,2023-01-20,14,3,Medium,2,Closed
356,2023-01-12,2023-01-20,9,2,Medium,2,Closed
357,2023-01-12,2023-01-17,5,1,Low,3,Closed
358,2023-01-12,2023-01-19,16,4,Medium,2,Closed
359,2023-01-12,2023-01-16,8,2,Low,3,Closed
360,2023-01-12,,6,2,High,1,Open
361,2023-01-12,2023-01-20,7,2,High,1,Closed
362,2023-01-12,2023-01-15,6,2,Low,3,Closed
363,2023-01-12,2023-01-16,8,2,Medium,2,Closed
364,2023-01-12,,7,2,Medium,2,Open
365,2023-01-12,2023-01-19,3,1,Medium,2,Closed
366,2023-01-12,2023-01-13,19,4,Low,3,Closed
367,2023-01-12,,14,3,Medium,2,Open
368,2023-01-12,,11,3,Medium,2,Open
369,2023-01-12,2023-01-18,7,2,High,1,Closed
370,2023-01-12,,3,1,High,1,Open
371,2023-01-12,2023-01-21,3,1,High,1,Closed
372,2023-01-12,2023-01-18,13,3,Low,3,Closed
373,2023-01-12,,7,2,High,1,Open
374,2023-01-12,,8,2,Medium,2,Open
375,2023-01-12,2023-01-14,11,3,Medium,2,Closed
376,2023-01-12,2023-01-20,15,3,Medium,2,Closed
377,2023-01-12,2023-01-20,1,1,Medium,2,Closed
378,2023-01-12,2023-01-17,18,4,Low,3,Closed
379,2023-01-12,,7,2,Low,3,Open
380,2023-01-12,2023-01-21,13,3,Low,3,Closed
381,2023-01-12,2023-01-21,17,4,High,1,Closed
382,2023-01-12,,19,4,High,1,Open
383,2023-01-12,2023-01-14,3,1,High,1,Closed
384,2023-01-12,2023-01-15,9,2,High,1,Closed
385,2023-01-13,2023-01-17,7,2,Low,3,Closed
386,2023-01-13,,6,2,Low,3,Open
387,2023-01-13,2023-01-16,13,3,High,1,Closed
388,2023-01-13,2023-01-20,20,4,High,1,Closed
389,2023-01-13,,9,2,Medium,2,Open
390,2023-01-13,2023-01-22,8,2,Medium,2,Closed
391,2023-01-13,2023-01-16,11,3,Low,3,Closed
392,2023-01-13,2023-01-20,6,2,Low,3,Closed
393,2023-01-13,,12,3,High,1,Open
394,2023-01-13,2023-01-14,20,4,High,1,Closed
395,2023-01-13,2023-01-19,12,3,Low,3,Closed
396,2023-01-13,2023-01-14,5,1,Medium,2,Closed
397,2023-01-13,2023-01-22,15,3,High,1,Closed
398,2023-01-13,2023-01-15,11,3,High,1,Closed
399,2023-01-13,,12,3,High,1,Open
400,2023-01-13,,11,3,Low,3,Open
401,2023-01-13,2023-01-15,9,2,Low,3,Closed
402,2023-01-13,,20,4,Low,3,Open
403,2023-01-13,2023-01-15,19,4,Medium,2,Closed
404,2023-01-13,2023-01-14,20,4,Low,3,Closed
405,2023-01-13,2023-01-18,20,4,High,1,Closed
406,2023-01-13,,2,1,High,1,Open
407,2023-01-13,2023-01-15,2,1,High,1,Closed
408,2023-01-13,2023-01-15,5,1,Medium,2,Closed
409,2023-01-13,,3,1,High,1,Open
410,2023-01-13,,17,4,High,1,Open
411,2023-01-13,2023-01-17,4,1,High,1,Closed
412,2023-01-13,2023-01-22,14,3,Medium,2,Closed
413,2023-01-13,2023-01-17,16,4,High,1,Closed
414,2023-01-13,2023-01-18,3,1,Low,3,Closed
415,2023-01-13,2023-01-17,19,4,Low,3,Closed
416,2023-01-13,2023-01-21,13,3,Low,3,Closed
417,2023-01-13,2023-01-15,18,4,High,1,Closed
418,2023-01-13,2023-01-18,12,3,Medium,2,Closed
419,2023-01-13,2023-01-14,2,1,Medium,2,Closed
420,2023-01-13,2023-01-22,11,3,High,1,Closed
421,2023-01-13,2023-01-22,20,4,Medium,2,Closed
422,2023-01-13,2023-01-19,17,4,High,1,Closed
423,2023-01-14,2023-01-21,8,2,Medium,2,Closed
424,2023-01-14,,19,4,High,1,Open
425,2023-01-14,2023-01-17,20,4,Medium,2,Closed
426,2023-01-14,2023-01-15,5,1,Medium,2,Closed
427,2023-01-14,2023-01-19,15,3,Low,3,Closed
428,2023-01-14,,10,2,High,1,Open
429,2023-01-14,2023-01-17,12,3,Medium,2,Closed
430,2023-01-14,2023-01-17,12,3,Medium,2,Closed
431,2023-01-14,2023-01-17,19,4,Medium,2,Closed
432,2023-01-14,2023-01-15,12,3,Low,3,Closed
433,2023-01-14,2023-01-21,11,3,Low,3,Closed
434,2023-01-14,2023-01-16,7,2,High,1,Closed
435,2023-01-14,2023-01-22,15,3,Low,3,Closed
436,2023-01-14,2023-01-21,8,2,Low,3,Closed
437,2023-01-14,,10,2,High,1,Open
438,2023-01-14,2023-01-21,1,1,High,1,Closed
439,2023-01-14,2023-01-17,20,4,Low,3,Closed
440,2023-01-14,2023-01-19,13,3,Medium,2,Closed
441,2023-01-14,2023-01-23,19,4,Medium,2,Closed
442,2023-01-14,2023-01-21,8,2,High,1,Closed
443,2023-01-14,2023-01-17,9,2,High,1,Closed
444,2023-01-14,2023-01-23,2,1,Medium,2,Closed
445,2023-01-14,2023-01-19,8,2,High,1,Closed
446,2023-01-14,2023-01-16,12,3,High,1,Closed
447,2023-01-14,2023-01-15,17,4,Medium,2,Closed
448,2023-01-14,2023-01-20,8,2,High,1,Closed
449,2023-01-14,2023-01-22,2,1,Low,3,Closed
450,2023-01-14,2023-01-17,17,4,Low,3,Closed
451,2023-01-14,2023-01-19,4,1,Medium,2,Closed
452,2023-01-14,,13,3,Medium,2,Open
453,2023-01-14,2023-01-18,5,1,Medium,2,Closed
454,2023-01-15,2023-01-17,6,2,Medium,2,Closed
455,2023-01-15,2023-01-17,19,4,Medium,2,Closed
456,2023-01-15,2023-01-20,4,1,Low,3,Closed
457,2023-01-15,2023-01-23,6,2,Medium,2,Closed
458,2023-01-15,2023-01-16,7,2,Low,3,Closed
459,2023-01-15,2023-01-18,11,3,Low,3,Closed
460,2023-01-15,2023-01-21,19,4,Medium,2,Closed
461,2023-01-15,2023-01-21,17,4,Low,3,Closed
462,2023-01-15,2023-01-24,4,1,Medium,2,Closed
463,2023-01-15,2023-01-19,3,1,Medium,2,Closed
464,2023-01-15,2023-01-24,18,4,Low,3,Closed
465,2023-01-15,2023-01-18,19,4,Low,3,Closed
466,2023-01-15,2023-01-16,7,2,Medium,2,Closed
467,2023-01-15,,13,3,Medium,2,Open
468,2023-01-15,,12,3,Low,3,Open
469,2023-01-15,,13,3,Low,3,Open
470,2023-01-15,2023-01-23,3,1,Low,3,Closed
471,2023-01-15,2023-01-16,19,4,High,1,Closed
472,2023-01-15,2023-01-23,12,3,Medium,2,Closed
473,2023-01-15,2023-01-23,17,4,Low,3,Closed
474,2023-01-15,2023-01-18,10,2,Low,3,Closed
475,2023-01-15,,9,2,Low,3,Open
476,2023-01-15,,11,3,Medium,2,Open
477,2023-01-15,2023-01-23,11,3,High,1,Closed
478,2023-01-15,2023-01-22,20,4,High,1,Closed
479,2023-01-15,2023-01-24,4,1,Medium,2,Closed
480,2023-01-15,2023-01-21,7,2,Medium,2,Closed
481,2023-01-15,2023-01-23,15,3,High,1,Closed
482,2023-01-15,2023-01-20,16,4,High,1,Closed
483,2023-01-15,2023-01-17,2,1,High,1,Closed
484,2023-01-15,2023-01-24,13,3,Medium,2,Closed
485,2023-01-15,2023-01-16,18,4,High,1,Closed
486,2023-01-15,2023-01-24,8,2,Low,3,Closed
487,2023-01-15,2023-01-19,12,3,High,1,Closed
488,2023-01-15,2023-01-23,5,1,Medium,2,Closed
489,2023-01-15,2023-01-16,17,4,Low,3,Closed
490,2023-01-16,2023-01-21,14,3,Medium,2,Closed
491,2023-01-16,2023-01-21,12,3,Medium,2,Closed
492,2023-01-16,2023-01-22,6,2,Low,3,Closed
493,2023-01-16,2023-01-19,2,1,High,1,Closed
494,2023-01-16,2023-01-20,7,2,Low,3,Closed
495,2023-01-16,2023-01-22,15,3,Low,3,Closed
496,2023-01-16,2023-01-24,2,1,Medium,2,Closed
497,2023-01-16,2023-01-24,16,4,High,1,Closed
498,2023-01-16,2023-01-17,18,4,Medium,2,Closed
499,2023-01-16,2023-01-22,5,1,High,1,Closed
500,2023-01-16,2023-01-19,18,4,High,1,Closed
501,2023-01-16,,20,4,Medium,2,Open
502,2023-01-16,2023-01-17,1,1,Low,3,Closed
